Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.9986050506710724,0.6294105816774754,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
Anaphase,0.9998785077963955,0.2952499451012502,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
Apoptosis,0.9997982486666213,0.8272378100152759,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
Binuclear,0.9988771237359234,0.20571365344228093,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
Elongated,0.9996588238820548,0.24210482377982998,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
Folded,0.9979514587228936,0.07984339557206661,0.8840677397517837,0.05351445684971746,False,False,non-shuffled,CP_DP
Grape,0.9990168946199455,0.42281806898070456,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
Hole,0.9982410860389347,0.33032024158894296,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
Interphase,0.9981720821365274,0.2461659449843269,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
Large,0.9994321652405367,0.1501557201681451,0.8020509215450207,0.09579805784555238,False,False,non-shuffled,CP_DP
Metaphase,0.9994951334510135,0.1957627673765015,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
MetaphaseAlignment,0.9997229650054285,0.37205899417935756,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
OutOfFocus,0.9998618551259447,1.0461760889885712,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
Polylobed,0.9992947968175091,0.5862673536248626,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
Prometaphase,0.999804965375457,0.8618828624983355,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
SmallIrregular,0.9985826877712183,0.42164586082595806,0.7736742067754757,0.11144188167646556,False,False,non-shuffled,CP_DP
neg_control,0.9980256073819961,0.03095247633467519,0.9312097696480405,0.0309524763346752,False,False,non-shuffled,CP_DP
