Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.9898818603923302,0.15190586873555842,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
Anaphase,0.9973705545675811,0.0717178470131793,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
Apoptosis,0.9980282417612216,0.1946395766590876,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
Binuclear,0.9982576031816575,0.11172204180392137,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
Elongated,0.9982997853370148,0.07853208371143496,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
Folded,0.9971756367141689,0.048569794856637614,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
Grape,0.9885337999792846,0.10355559498320821,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
Hole,0.9962778171584004,0.11630913898417619,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
Interphase,0.9981559252276087,0.2267544292621067,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
Large,0.9976893965626762,0.04447457863664086,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
Metaphase,0.9978390070529835,0.058153171964430386,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
MetaphaseAlignment,0.9982713427442507,0.10010578567841763,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
OutOfFocus,0.9967860366645479,0.19867327475171498,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
Polylobed,0.9982024154703381,0.19168515729373697,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
Prometaphase,0.9981453487423881,0.1969535934264489,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
SmallIrregular,0.9970686966723212,0.14392424754481978,0.9590789520897017,0.018145639914291686,False,False,features_shuffled,CP_DP
neg_control,0.9979954786068387,0.016789323087974106,0.9620788711220132,0.01678932308797411,False,False,features_shuffled,CP_DP
