Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.9903286139190096,0.1467597165080712,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
Anaphase,0.9979884747059516,0.07833858086926537,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
Apoptosis,0.9977887215131127,0.17171404538965307,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
Binuclear,0.9982652383213672,0.12073043143813883,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
Elongated,0.9982947611981542,0.08327851015226584,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
Folded,0.9975794522937939,0.05634883810622532,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
Grape,0.9922990808240618,0.15668799062622019,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
Hole,0.9965946717575057,0.12924346083934735,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
Interphase,0.9981231158748207,0.22334265482063503,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
Large,0.9981217625997554,0.05136206398384866,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
Metaphase,0.9976208141081615,0.061865434422978496,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
MetaphaseAlignment,0.9981704552586356,0.10090556785881995,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
OutOfFocus,0.9965892150782785,0.1935859797182209,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
Polylobed,0.9982546315189352,0.19739533767212314,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
Prometaphase,0.9981539802491404,0.19978632141868885,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
SmallIrregular,0.9968979520799421,0.14656382635922108,0.9439888719844512,0.025033125261499548,False,False,features_shuffled,CP
neg_control,0.9980286712959894,0.016878156597733632,0.9618821011740455,0.01687815659773364,False,False,features_shuffled,CP
