Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.8129926745314572,0.03899485253170259,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
Anaphase,0.9461566134668271,0.039303777945052215,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
Apoptosis,0.9654962250449476,0.07628068462898902,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
Binuclear,0.9699668251488772,0.09915152487189918,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
Elongated,0.9285006196134091,0.04960529160460498,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
Folded,0.9172791457306653,0.04665427069070146,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
Grape,0.7865860502712393,0.03160889667737,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
Hole,0.9283736803014225,0.05889288603983714,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
Interphase,0.9676390431746897,0.1575954793953504,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
Large,0.9437079696082551,0.05168255125070004,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
Metaphase,0.9668710753731053,0.06608913526176864,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
MetaphaseAlignment,0.9476851439159066,0.071310321666843,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
OutOfFocus,0.8652474558316418,0.05623154795065741,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
Polylobed,0.9707798049732044,0.10047855380547063,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
Prometaphase,0.9287102755450584,0.06833882116849711,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
SmallIrregular,0.9306948991182558,0.06452497553296797,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
neg_control,0.9356082045749284,0.08036895880497495,0.9298033430371506,0.03160889667737001,False,False,phenotypes_shuffled,CP_DP
