Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.820391152341736,0.03416366903276876,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
Anaphase,0.9506804126815305,0.04749310233922514,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
Apoptosis,0.9682067065019769,0.09055004717346798,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
Binuclear,0.9712841557634039,0.10383315182213887,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
Elongated,0.9301579141779766,0.05520056126526785,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
Folded,0.9271630387213932,0.08189925115220767,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
Grape,0.7886695069151084,0.03390896174792304,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
Hole,0.9233793893067823,0.05264492352838704,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
Interphase,0.9678302868368963,0.1459482755147518,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
Large,0.9488522445284013,0.05823145237409158,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
Metaphase,0.9698933604743438,0.06975069109180972,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
MetaphaseAlignment,0.9439514553804653,0.07150262901220239,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
OutOfFocus,0.875179607328055,0.06655026651341338,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
Polylobed,0.9732098967196917,0.10364732349233996,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
Prometaphase,0.9354857935569225,0.07640461964176794,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
SmallIrregular,0.9385433507338556,0.0628059922207914,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
neg_control,0.9387727991020924,0.08173626712476444,0.9248920325593403,0.03390896174792305,False,False,phenotypes_shuffled,DP
